produkt_id,produkt_nazev,kategorie,prodejni_cena,nakladova_cena,jednotka,stav
PRD0152,Cloned grid-enabled extranet,Elektronika,14332.1,6827.09,hod,Aktivní
PRD0153,Customer-focused uniform ability,Elektronika,1312.34,1085.75,kg,Aktivní
PRD0154,Business-focused human-resource intranet,Chemie,37521.74,30750.28,bal,Aktivní
PRD0155,Upgradable intangible concept,Chemie,7364.1,6399.28,kg,Ukončený
PRD0156,Open-source modular implementation,Strojírenství,1663.7,820.18,hod,Ukončený
PRD0157,Monitored needs-based implementation,Automotive,43248.83,22869.71,m,Aktivní
PRD0158,Cross-platform mission-critical toolset,Chemie,25570.57,12825.77,bal,Aktivní
PRD0159,Re-engineered solution-oriented task-for,Potraviny,46327.92,32717.83,hod,Aktivní
PRD0160,Synergized directional complexity,Energie,697.61,540.18,m,Aktivní
PRD0161,Organized asynchronous website,Potraviny,45578.74,24962.81,hod,Ukončený
PRD0162,Automated explicit adapter,Služby,36935.58,29613.67,l,Aktivní
PRD0163,Intuitive empowering benchmark,Software,8912.42,4979.11,kg,Ukončený
PRD0164,Compatible global concept,Chemie,6011.72,5288.41,hod,Aktivní
PRD0165,Multi-tiered cohesive superstructure,Chemie,6546.82,3980.51,ks,Aktivní
PRD0166,Compatible neutral array,Elektronika,23343.25,10066.84,kg,Aktivní
PRD0167,Mandatory radical pricing structure,Energie,29864.17,15325.38,bal,Aktivní
PRD0168,Polarized tertiary algorithm,Potraviny,24553.02,15067.24,ks,Aktivní
PRD0169,Optional solution-oriented concept,Automotive,26293.48,11082.86,ks,Ukončený
PRD0170,Robust intermediate complexity,Textil,8010.56,5034.32,ks,Aktivní
PRD0171,Business-focused bandwidth-monitored gro,Potraviny,11098.84,8804.97,l,Aktivní
PRD0172,Expanded content-based installation,Energie,14714.04,6251.2,hod,Aktivní
PRD0173,Total neutral success,Elektronika,49831.72,24325.64,ks,Aktivní
PRD0174,Upgradable needs-based firmware,Energie,22311.08,9989.83,hod,Aktivní
PRD0175,Switchable executive framework,Potraviny,47946.9,26789.1,m,Aktivní
PRD0176,Front-line bandwidth-monitored applicati,Chemie,19324.5,12172.14,ks,Ukončený
PRD0177,Object-based object-oriented neural-net,Automotive,41114.35,29294.84,m,Aktivní
PRD0178,Pre-emptive coherent application,Služby,2240.39,1010.1,l,Ukončený
PRD0179,Multi-lateral 24hour interface,Automotive,4163.16,3547.1,hod,Aktivní
PRD0180,Cross-group explicit protocol,Služby,31365.31,24923.17,bal,Aktivní
PRD0181,Self-enabling radical matrices,Textil,41791.47,33316.59,bal,Aktivní
PRD0182,Exclusive bandwidth-monitored algorithm,Stavebnictví,37357.2,30749.56,bal,Aktivní
PRD0183,Expanded composite productivity,Software,1942.42,1677.04,l,Ukončený
PRD0184,Implemented attitude-oriented leverage,Chemie,3568.58,1745.71,m,Aktivní
PRD0185,Customizable fault-tolerant toolset,Potraviny,22583.73,15758.38,ks,Aktivní
PRD0186,Object-based methodical matrix,Energie,33681.27,21306.19,ks,Plánovaný
PRD0187,Switchable empowering array,Potraviny,2323.57,1105.73,hod,Aktivní
PRD0188,Stand-alone needs-based info-mediaries,Energie,14527.34,8092.61,ks,Aktivní
PRD0189,Enterprise-wide holistic implementation,Textil,38275.45,26071.78,bal,Aktivní
PRD0190,Multi-layered contextually-based knowled,Software,23725.68,15024.67,bal,Aktivní
PRD0191,Balanced empowering intranet,Chemie,39848.68,18938.73,bal,Aktivní
PRD0192,Persistent empowering definition,Potraviny,14937.92,6819.32,ks,Ukončený
PRD0193,Future-proofed non-volatile approach,Elektronika,43744.61,36277.98,ks,Plánovaný
PRD0194,Distributed web-enabled standardization,Strojírenství,29852.91,18849.84,l,Aktivní
PRD0195,Synchronized bandwidth-monitored artific,Potraviny,37427.41,16775.97,kg,Aktivní
PRD0196,Synchronized grid-enabled workforce,Software,45286.12,21477.87,kg,Aktivní
PRD0197,Quality-focused incremental system engin,Služby,11078.36,5346.7,ks,Aktivní
PRD0198,Reverse-engineered discrete neural-net,Elektronika,33565.35,20688.13,hod,Aktivní
PRD0199,Centralized human-resource model,Strojírenství,32251.49,27846.83,l,Aktivní
PRD0200,Operative national software,Potraviny,9911.01,6042.76,l,Aktivní
PRD0201,Phased object-oriented encoding,Chemie,33581.21,26285.14,hod,Aktivní
PRD0202,Phased exuding artificial intelligence,Stavebnictví,45010.92,33357.91,l,Plánovaný
PRD0203,Object-based transitional alliance,Software,32988.14,18251.38,hod,Plánovaný
PRD0204,Profit-focused object-oriented model,Textil,18256.45,13543.24,kg,Aktivní
PRD0205,Re-engineered systematic process improve,Textil,15695.08,7960.07,l,Aktivní
PRD0206,Digitized bottom-line system engine,Stavebnictví,6758.58,3605.79,m,Aktivní
PRD0207,Organized context-sensitive concept,Automotive,17969.14,13427.69,ks,Aktivní
PRD0208,Extended content-based capacity,Chemie,32295.3,27742.09,kg,Ukončený
PRD0209,Balanced interactive artificial intellig,Strojírenství,9861.77,5258.57,bal,Aktivní
PRD0210,Synergized intermediate customer loyalty,Elektronika,44610.65,21199.26,hod,Plánovaný
PRD0211,Self-enabling client-server policy,Elektronika,20286.47,12272.95,hod,Aktivní
PRD0212,Fundamental foreground superstructure,Stavebnictví,27196.29,10895.81,bal,Aktivní
PRD0213,Cloned background info-mediaries,Energie,18322.64,14444.59,bal,Aktivní
PRD0214,Realigned hybrid neural-net,Strojírenství,6737.37,4375.51,m,Aktivní
PRD0215,Inverse even-keeled model,Energie,25133.26,14292.3,bal,Aktivní
PRD0216,Persevering 24/7 toolset,Software,37872.44,31427.11,kg,Plánovaný
PRD0217,Total regional parallelism,Software,47438.16,27053.67,bal,Aktivní
PRD0218,Programmable zero tolerance instruction ,Stavebnictví,46961.8,41316.53,kg,Aktivní
PRD0219,Customizable intangible collaboration,Služby,13254.64,10378.26,hod,Aktivní
PRD0220,Digitized non-volatile parallelism,Elektronika,19435.25,8571.9,ks,Aktivní
PRD0221,Reduced well-modulated attitude,Chemie,5206.09,2164.58,bal,Aktivní
PRD0222,Customer-focused non-volatile time-frame,Textil,28952.64,17803.56,bal,Aktivní
PRD0223,Cross-platform zero tolerance forecast,Strojírenství,18296.57,10490.0,hod,Aktivní
PRD0224,Public-key grid-enabled installation,Automotive,18847.62,8413.18,m,Aktivní
PRD0225,Fundamental human-resource projection,Stavebnictví,40870.98,29732.98,hod,Aktivní
PRD0226,Pre-emptive object-oriented portal,Software,25116.76,20859.87,kg,Aktivní
PRD0227,Phased 5thgeneration conglomeration,Software,25751.34,19560.6,kg,Aktivní
PRD0228,Grass-roots impactful circuit,Strojírenství,18143.04,9821.71,bal,Aktivní
PRD0229,Secured real-time software,Strojírenství,20759.95,15256.23,m,Aktivní
PRD0230,Team-oriented impactful alliance,Textil,23977.11,14496.67,ks,Aktivní
PRD0231,Object-based full-range solution,Software,2205.06,1352.27,kg,Ukončený
PRD0232,Front-line actuating synergy,Elektronika,2007.58,1232.38,kg,Aktivní
PRD0233,Phased encompassing hub,Textil,46126.22,29598.26,hod,Plánovaný
PRD0234,Ameliorated global utilization,Chemie,31899.25,14697.44,ks,Aktivní
PRD0235,Innovative fault-tolerant focus group,Stavebnictví,22487.71,9076.31,kg,Aktivní
PRD0236,Pre-emptive tangible software,Energie,41526.66,24898.58,kg,Plánovaný
PRD0237,Cross-platform discrete challenge,Potraviny,32999.46,25334.99,m,Plánovaný
PRD0238,Innovative value-added intranet,Textil,29550.27,23199.71,kg,Aktivní
PRD0239,Vision-oriented fresh-thinking flexibili,Automotive,877.3,560.28,bal,Aktivní
PRD0240,Upgradable intangible portal,Software,41334.38,24686.73,m,Plánovaný
PRD0241,Stand-alone background core,Automotive,30010.7,13838.64,hod,Aktivní
PRD0242,Organic didactic installation,Energie,4704.84,2683.19,hod,Aktivní
PRD0243,User-centric mobile task-force,Textil,44853.6,22990.38,hod,Aktivní
PRD0244,Programmable holistic approach,Automotive,18550.35,16292.42,m,Aktivní
PRD0245,Profound cohesive architecture,Textil,46924.16,30920.13,l,Plánovaný
PRD0246,Integrated tertiary middleware,Energie,40240.82,17950.25,ks,Aktivní
PRD0247,Open-architected client-driven time-fram,Služby,6737.46,4456.35,ks,Aktivní
PRD0248,Progressive non-volatile algorithm,Chemie,29934.7,18803.02,kg,Aktivní
PRD0249,Enhanced content-based customer loyalty,Energie,35471.98,17923.59,hod,Aktivní
PRD0250,Centralized dynamic alliance,Služby,26012.1,18533.23,bal,Aktivní
PRD0251,Persevering actuating hierarchy,Textil,20471.81,17333.65,bal,Plánovaný
PRD0252,Triple-buffered dedicated focus group,Textil,12718.95,6009.85,hod,Aktivní
PRD0253,Multi-layered maximized middleware,Textil,30613.44,12370.91,kg,Aktivní
PRD0254,Object-based scalable capability,Software,27627.64,17162.81,l,Ukončený
PRD0255,Synergized 4thgeneration encoding,Chemie,27767.82,21467.61,hod,Aktivní
PRD0256,Multi-layered mobile policy,Software,38721.01,27140.92,bal,Aktivní
PRD0257,Organized context-sensitive leverage,Software,37403.32,25310.92,ks,Aktivní
PRD0258,Reverse-engineered neutral hardware,Automotive,25441.76,12897.94,hod,Aktivní
PRD0259,Monitored cohesive firmware,Elektronika,8078.86,3374.66,ks,Aktivní
PRD0260,User-friendly system-worthy array,Strojírenství,23609.85,14163.01,ks,Aktivní
PRD0261,Horizontal 4thgeneration info-mediaries,Elektronika,11127.42,9569.36,bal,Aktivní
PRD0262,Business-focused cohesive orchestration,Automotive,46537.72,32561.4,l,Plánovaný
PRD0263,Vision-oriented didactic definition,Software,2920.28,1498.68,bal,Aktivní
PRD0264,Stand-alone directional service-desk,Automotive,21976.65,17562.56,l,Aktivní
PRD0265,Expanded encompassing projection,Automotive,1728.79,1037.69,bal,Aktivní
PRD0266,Open-source multimedia adapter,Potraviny,30778.74,17328.06,kg,Aktivní
PRD0267,Vision-oriented zero administration soft,Chemie,48783.51,41786.91,m,Aktivní
PRD0268,Advanced methodical capacity,Služby,33499.62,23358.43,hod,Aktivní
PRD0269,Stand-alone context-sensitive policy,Strojírenství,36859.43,31908.89,hod,Aktivní
PRD0270,Advanced directional extranet,Energie,36320.63,22534.88,l,Aktivní
PRD0271,Robust fault-tolerant structure,Energie,48166.22,36690.43,kg,Aktivní
PRD0272,Triple-buffered secondary focus group,Chemie,46489.21,28476.81,kg,Aktivní
PRD0273,Optimized homogeneous hardware,Automotive,25336.59,15726.03,l,Aktivní
PRD0274,Persevering eco-centric data-warehouse,Chemie,47353.42,23607.05,hod,Plánovaný
PRD0275,Persistent exuding service-desk,Textil,12544.57,8512.94,hod,Aktivní
PRD0276,Programmable regional infrastructure,Stavebnictví,38509.86,20073.78,bal,Aktivní
PRD0277,Reduced bi-directional ability,Stavebnictví,44831.36,21025.39,ks,Aktivní
PRD0278,Profound stable hub,Služby,3424.34,1996.97,bal,Aktivní
PRD0279,Realigned secondary policy,Potraviny,40018.06,27764.01,hod,Ukončený
PRD0280,Robust executive framework,Služby,535.67,259.22,l,Aktivní
PRD0281,Synergized bi-directional matrices,Potraviny,19976.59,10499.81,ks,Ukončený
PRD0282,Cloned global focus group,Potraviny,46573.24,30818.55,kg,Plánovaný
PRD0283,Sharable fresh-thinking focus group,Služby,13490.34,5752.83,m,Aktivní
PRD0284,Fundamental solution-oriented structure,Chemie,11781.33,9177.32,kg,Aktivní
PRD0285,Streamlined exuding core,Energie,10178.19,7889.65,l,Aktivní
PRD0286,Distributed multi-state task-force,Strojírenství,38957.98,32727.07,bal,Aktivní
PRD0287,Front-line analyzing workforce,Automotive,30710.66,15904.37,ks,Aktivní
PRD0288,Right-sized impactful protocol,Energie,18591.27,13800.14,l,Aktivní
PRD0289,Intuitive systemic challenge,Automotive,9184.45,4756.34,l,Aktivní
PRD0290,Up-sized 4thgeneration projection,Elektronika,11143.53,6816.13,hod,Aktivní
PRD0291,Proactive explicit firmware,Automotive,23942.09,15074.32,l,Aktivní
PRD0292,Operative impactful info-mediaries,Stavebnictví,43026.99,22031.88,ks,Ukončený
PRD0293,User-centric 5thgeneration paradigm,Elektronika,23030.53,12791.03,bal,Aktivní
PRD0294,Triple-buffered object-oriented core,Potraviny,19002.43,16144.96,hod,Aktivní
PRD0295,Mandatory uniform structure,Chemie,9398.26,7223.27,m,Plánovaný
PRD0296,Face-to-face systemic monitoring,Textil,17187.67,13888.38,kg,Aktivní
PRD0297,Sharable zero tolerance leverage,Textil,35050.6,25020.7,l,Aktivní
PRD0298,Synchronized heuristic middleware,Energie,9035.47,7539.47,bal,Aktivní
PRD0299,Innovative composite protocol,Služby,40718.82,21971.56,hod,Aktivní
PRD0300,Realigned contextually-based frame,Software,42822.62,34342.39,m,Aktivní
