zakazka_id,produkt_id,planovane_mnozstvi,datum_zahajeni,datum_ukonceni,stredisko_id,naklady_material,naklady_prace,naklady_rezie,celkove_naklady,stav,vyuziti_kapacity,zmetky
VZ000025,PRD0164,1294,2024-10-26,2024-11-08,STR031,300943.81,214558.58,98311.41,613813.8,V výrobě,0.852,47
VZ000026,PRD0262,1360,2024-07-05,2024-07-28,STR001,26551.1,8488.43,8274.29,43313.82,Pozastaveno,1.047,63
VZ000027,PRD0264,2362,2025-06-01,2025-06-15,STR021,71022.91,30231.08,12743.38,113997.37,Zrušeno,1.039,15
VZ000028,PRD0291,3724,2025-02-08,2025-03-11,STR011,11649.24,5526.49,2661.37,19837.1,Pozastaveno,0.875,179
VZ000029,PRD0173,2444,2023-03-30,2023-04-18,STR041,188582.82,82733.25,20151.51,291467.58,Dokončeno,1.019,72
VZ000030,PRD0129,653,2024-04-05,2024-04-06,STR031,299257.35,87900.2,60663.45,447821.0,Plánováno,1.019,19
VZ000031,PRD0040,3296,2024-12-15,2025-01-27,STR001,424286.13,230147.21,91167.45,745600.79,V výrobě,0.892,30
VZ000032,PRD0287,1149,2024-05-17,2024-06-21,STR031,395783.95,134488.06,28975.39,559247.4,Pozastaveno,1.035,40
VZ000033,PRD0148,3969,2023-01-08,2023-02-20,STR031,34149.64,24684.72,9107.41,67941.77,V výrobě,0.962,32
VZ000034,PRD0194,3964,2023-07-25,2023-08-13,STR001,97891.53,21628.32,20185.73,139705.58,Dokončeno,0.863,71
VZ000035,PRD0075,4866,2025-05-04,2025-05-22,STR031,315963.07,204272.56,71572.28,591807.91,Dokončeno,0.956,95
VZ000036,PRD0073,2905,2024-08-21,2024-09-26,STR011,49238.59,37175.86,5703.46,92117.91,Pozastaveno,1.04,49
VZ000037,PRD0235,2515,2023-09-02,2023-09-12,STR031,164736.78,126646.35,20597.09,311980.22,Dokončeno,1.03,110
VZ000038,PRD0096,523,2023-01-28,2023-02-09,STR041,49543.13,20351.81,3571.35,73466.29,Dokončeno,0.928,6
VZ000039,PRD0291,3083,2023-04-17,2023-05-13,STR021,11275.85,4456.86,3775.12,19507.83,Dokončeno,0.969,77
VZ000040,PRD0074,293,2023-09-06,2023-09-14,STR021,374756.31,130587.83,37749.65,543093.79,Pozastaveno,1.043,1
VZ000041,PRD0070,3791,2023-03-25,2023-05-02,STR031,379322.84,77104.63,68520.95,524948.42,V výrobě,0.866,158
VZ000042,PRD0077,2854,2023-03-09,2023-04-18,STR041,170999.16,82862.74,46988.92,300850.82,Pozastaveno,0.881,136
VZ000043,PRD0013,4451,2025-03-01,2025-03-11,STR031,310751.71,189884.38,79317.05,579953.14,Dokončeno,0.958,6
VZ000044,PRD0039,671,2024-04-07,2024-04-13,STR001,93700.17,50167.82,24312.04,168180.03,Dokončeno,0.936,20
VZ000045,PRD0261,1307,2025-01-28,2025-03-09,STR001,366294.47,201459.66,111523.04,679277.17,Zrušeno,0.996,8
VZ000046,PRD0067,1660,2023-10-31,2023-11-28,STR021,172935.35,61792.88,32441.31,267169.54,Pozastaveno,0.861,75
VZ000047,PRD0154,2664,2025-01-31,2025-02-27,STR031,381296.5,298837.63,143473.13,823607.26,Plánováno,1.028,117
VZ000048,PRD0154,10,2025-05-13,2025-05-24,STR011,271656.69,149352.24,24336.48,445345.41,V výrobě,0.988,0
VZ000049,PRD0077,4539,2023-03-31,2023-05-11,STR041,452600.38,123444.58,86020.95,662065.91,Plánováno,0.942,213
VZ000050,PRD0087,1411,2024-02-15,2024-03-20,STR041,236333.36,153392.98,95479.68,485206.02,Dokončeno,0.998,10
VZ000051,PRD0047,2376,2024-11-02,2024-11-11,STR011,170459.59,83187.12,23169.23,276815.94,V výrobě,0.867,99
VZ000052,PRD0081,1745,2024-08-03,2024-08-31,STR001,17696.78,4446.12,5287.64,27430.54,Dokončeno,1.025,5
VZ000053,PRD0274,1984,2023-01-08,2023-01-19,STR041,39968.58,23094.7,7884.49,70947.77,Pozastaveno,1.025,68
VZ000054,PRD0259,527,2024-06-08,2024-06-21,STR001,115452.84,58263.94,13910.88,187627.66,V výrobě,0.866,12
VZ000055,PRD0111,526,2025-03-04,2025-03-05,STR001,336267.54,106034.81,25029.5,467331.85,V výrobě,1.005,7
VZ000056,PRD0007,289,2025-01-28,2025-03-03,STR041,21733.69,15586.52,7393.43,44713.64,Dokončeno,0.981,13
VZ000057,PRD0096,1704,2024-03-30,2024-04-16,STR041,224087.86,63259.31,44242.36,331589.53,Dokončeno,0.851,56
VZ000058,PRD0272,1612,2023-03-19,2023-04-02,STR031,182477.13,103694.94,15824.19,301996.26,Dokončeno,0.979,1
VZ000059,PRD0154,889,2024-08-20,2024-09-14,STR031,487741.79,282944.72,40426.23,811112.74,V výrobě,0.951,13
VZ000060,PRD0287,1074,2023-03-05,2023-04-02,STR021,187137.87,45307.95,54175.57,286621.39,Dokončeno,0.88,45
VZ000061,PRD0100,2325,2024-02-29,2024-04-01,STR041,358055.52,137277.33,79625.27,574958.12,Dokončeno,0.93,32
VZ000062,PRD0290,3827,2025-06-01,2025-06-13,STR011,65869.85,20100.97,11253.14,97223.96,Pozastaveno,0.855,55
VZ000063,PRD0248,1759,2023-03-09,2023-04-03,STR021,428810.09,153788.66,102073.27,684672.02,V výrobě,0.979,86
VZ000064,PRD0208,799,2025-04-05,2025-04-10,STR041,302807.08,124906.92,51192.1,478906.1,Dokončeno,0.951,5
VZ000065,PRD0253,3957,2025-02-13,2025-03-15,STR021,451073.39,122588.72,132121.72,705783.83,Dokončeno,0.966,56
VZ000066,PRD0063,3658,2023-11-15,2023-11-29,STR001,207589.67,132472.72,26801.03,366863.42,V výrobě,0.921,19
VZ000067,PRD0055,3437,2025-01-31,2025-02-02,STR001,372598.31,216272.34,89822.82,678693.47,V výrobě,0.886,143
VZ000068,PRD0127,2321,2024-11-23,2025-01-02,STR041,234289.48,116783.22,42314.97,393387.67,Zrušeno,0.978,97
VZ000069,PRD0089,843,2023-12-30,2024-01-19,STR031,398731.64,94066.16,51214.86,544012.66,Dokončeno,0.897,29
VZ000070,PRD0018,1146,2024-04-08,2024-04-20,STR031,343251.05,204782.85,71672.59,619706.49,V výrobě,0.955,46
VZ000071,PRD0204,1187,2024-02-05,2024-03-13,STR041,296043.41,142389.14,41612.61,480045.16,Pozastaveno,1.019,13
VZ000072,PRD0258,1374,2024-08-08,2024-08-09,STR001,72496.75,24368.83,16478.23,113343.81,Dokončeno,1.032,2
VZ000073,PRD0092,1243,2024-01-08,2024-01-12,STR031,425172.57,227872.92,156720.85,809766.34,Dokončeno,0.867,6
VZ000074,PRD0040,4197,2023-07-06,2023-07-23,STR021,145896.77,85375.2,36090.56,267362.53,V výrobě,1.039,94
VZ000075,PRD0067,787,2024-04-03,2024-04-18,STR031,352483.79,89137.52,65167.9,506789.21,V výrobě,0.942,3
VZ000076,PRD0199,1388,2023-01-26,2023-02-12,STR041,142090.31,51772.42,45679.17,239541.9,Plánováno,0.927,49
VZ000077,PRD0056,4303,2023-05-02,2023-05-22,STR031,343871.12,147537.92,95601.62,587010.66,Plánováno,0.909,98
VZ000078,PRD0140,3619,2025-05-15,2025-05-25,STR011,404734.58,81331.35,28175.84,514241.77,Dokončeno,0.882,127
VZ000079,PRD0082,3787,2024-03-21,2024-04-02,STR041,364053.6,236944.29,109852.29,710850.18,V výrobě,0.959,147
VZ000080,PRD0110,1979,2025-06-08,2025-07-20,STR001,368305.88,128349.19,25171.94,521827.01,Zrušeno,0.976,12
VZ000081,PRD0261,1216,2025-05-25,2025-06-06,STR031,468353.93,310155.15,174793.08,953302.16,Dokončeno,0.906,18
VZ000082,PRD0170,250,2024-07-03,2024-07-28,STR041,478053.37,98072.21,125564.21,701689.79,Pozastaveno,0.865,8
VZ000083,PRD0165,4350,2024-01-27,2024-02-03,STR041,280408.04,78032.91,56755.8,415196.75,Pozastaveno,1.006,121
VZ000084,PRD0181,3105,2024-10-30,2024-11-26,STR011,463722.91,262211.49,164961.86,890896.26,Dokončeno,0.908,139
VZ000085,PRD0232,2962,2023-05-09,2023-06-14,STR021,176180.0,114524.36,15775.56,306479.92,V výrobě,0.918,10
VZ000086,PRD0100,4422,2023-10-27,2023-12-07,STR021,316141.82,88335.0,32036.15,436512.97,V výrobě,0.878,145
VZ000087,PRD0295,4324,2024-12-20,2025-01-14,STR021,398442.54,247984.83,118378.21,764805.58,Dokončeno,0.866,210
VZ000088,PRD0022,3475,2024-03-26,2024-05-10,STR021,181350.53,101062.13,39160.9,321573.56,Plánováno,0.867,89
VZ000089,PRD0262,2115,2023-01-11,2023-01-16,STR031,240642.73,115696.29,79355.33,435694.35,Plánováno,0.851,99
VZ000090,PRD0201,1683,2023-03-03,2023-04-09,STR011,415481.17,320869.54,129894.19,866244.9,V výrobě,0.888,63
VZ000091,PRD0173,188,2024-04-03,2024-04-26,STR011,454065.3,279534.11,134148.19,867747.6,Plánováno,0.995,8
VZ000092,PRD0049,2447,2025-05-11,2025-06-05,STR031,286275.42,160300.72,62067.47,508643.61,Dokončeno,0.991,92
VZ000093,PRD0241,3873,2024-10-16,2024-11-13,STR001,300559.59,140029.32,86246.16,526835.07,Dokončeno,0.958,143
VZ000094,PRD0212,4966,2023-04-27,2023-06-07,STR031,168553.78,61775.49,22825.56,253154.83,Dokončeno,0.899,23
VZ000095,PRD0238,2951,2024-01-26,2024-02-01,STR021,343906.52,141591.35,105091.58,590589.45,Plánováno,0.932,99
VZ000096,PRD0176,1449,2024-08-20,2024-09-20,STR041,5069.25,3257.67,1515.03,9841.95,Dokončeno,1.023,58
VZ000097,PRD0205,1747,2024-05-01,2024-06-02,STR011,205586.7,68275.16,48902.46,322764.32,Dokončeno,1.03,3
VZ000098,PRD0106,2127,2023-09-07,2023-10-11,STR011,273849.51,159049.52,42607.07,475506.1,V výrobě,1.041,37
VZ000099,PRD0070,2872,2025-05-28,2025-07-08,STR021,457878.92,228685.94,125501.14,812066.0,V výrobě,1.05,44
VZ000100,PRD0182,1768,2023-07-29,2023-08-21,STR001,90327.26,60402.44,33805.71,184535.41,Pozastaveno,0.952,9
VZ000101,PRD0204,1748,2023-10-10,2023-10-30,STR011,301606.06,213211.76,109848.76,624666.58,V výrobě,0.91,84
VZ000102,PRD0296,910,2025-05-15,2025-05-24,STR011,162203.36,81984.09,43530.26,287717.71,V výrobě,0.974,18
VZ000103,PRD0047,1640,2025-01-13,2025-02-12,STR031,460202.64,235064.02,157937.89,853204.55,Zrušeno,0.878,34
VZ000104,PRD0239,154,2025-06-03,2025-06-21,STR021,445484.63,344298.91,40571.41,830354.95,Dokončeno,0.977,6
VZ000105,PRD0093,1423,2023-11-16,2023-12-02,STR031,340510.34,243301.37,99317.1,683128.81,Zrušeno,1.007,14
VZ000106,PRD0244,3744,2025-01-25,2025-02-11,STR021,98301.3,41560.8,23588.94,163451.04,Dokončeno,1.032,86
VZ000107,PRD0068,314,2024-05-03,2024-05-22,STR021,46534.14,18595.56,3775.12,68904.82,Dokončeno,0.941,5
VZ000108,PRD0218,596,2025-06-11,2025-06-17,STR041,251621.32,173417.66,25562.75,450601.73,Zrušeno,0.957,28
VZ000109,PRD0267,59,2023-07-30,2023-08-06,STR011,63867.08,24401.71,4911.83,93180.62,Dokončeno,0.952,0
VZ000110,PRD0229,1201,2023-11-25,2024-01-07,STR041,250684.6,52504.68,50764.0,353953.28,Dokončeno,1.032,59
VZ000111,PRD0050,2169,2024-10-22,2024-11-21,STR031,152113.02,102581.86,63501.2,318196.08,Dokončeno,0.938,40
VZ000112,PRD0034,2285,2025-01-04,2025-01-17,STR021,439496.8,144641.06,139996.48,724134.34,Dokončeno,0.912,46
VZ000113,PRD0119,1948,2023-10-10,2023-11-11,STR001,27803.04,15940.51,5475.92,49219.47,Dokončeno,0.859,25
VZ000114,PRD0063,4151,2024-08-30,2024-09-14,STR041,455657.82,213877.04,137456.38,806991.24,Plánováno,0.946,94
VZ000115,PRD0262,412,2024-07-05,2024-07-11,STR041,478818.51,122586.77,82474.89,683880.17,V výrobě,0.987,11
VZ000116,PRD0287,2918,2023-04-14,2023-04-22,STR001,91319.12,39066.87,28369.2,158755.19,Zrušeno,0.859,51
VZ000117,PRD0014,3219,2024-03-30,2024-04-18,STR011,210136.67,96268.56,55486.8,361892.03,Zrušeno,0.872,125
VZ000118,PRD0054,2734,2023-06-02,2023-06-21,STR011,43798.14,16028.74,5678.82,65505.7,V výrobě,0.881,113
VZ000119,PRD0211,511,2023-10-31,2023-11-20,STR031,162106.6,80976.72,34338.96,277422.28,V výrobě,0.999,2
VZ000120,PRD0224,4096,2024-03-04,2024-03-07,STR021,332814.12,174257.06,85992.1,593063.28,Zrušeno,0.924,36
VZ000121,PRD0228,3712,2023-09-30,2023-11-02,STR031,494180.57,150358.79,97506.25,742045.61,Zrušeno,1.003,115
VZ000122,PRD0207,3983,2023-08-03,2023-08-24,STR011,84898.97,67556.33,21787.83,174243.13,V výrobě,0.933,193
VZ000123,PRD0067,4725,2023-01-14,2023-02-28,STR021,392508.03,104574.34,108239.07,605321.44,Dokončeno,0.925,55
VZ000124,PRD0232,3689,2023-01-01,2023-02-15,STR021,355863.57,272651.15,68603.88,697118.6,Pozastaveno,0.901,25
VZ000125,PRD0050,1252,2025-05-01,2025-05-25,STR021,186081.55,102742.3,31953.89,320777.74,Dokončeno,0.872,31
VZ000126,PRD0193,4269,2023-11-18,2023-11-20,STR021,195424.3,73702.35,59587.57,328714.22,V výrobě,1.041,89
VZ000127,PRD0295,3106,2024-01-31,2024-02-19,STR031,464523.49,159288.14,143344.84,767156.47,V výrobě,1.044,144
VZ000128,PRD0274,3061,2023-04-16,2023-04-27,STR011,335767.83,93999.66,96944.72,526712.21,Dokončeno,0.901,91
VZ000129,PRD0050,252,2025-01-17,2025-01-19,STR041,405587.24,168322.6,29956.07,603865.91,V výrobě,0.975,6
VZ000130,PRD0050,1379,2024-04-08,2024-04-28,STR011,350655.3,93169.77,55031.14,498856.21,V výrobě,0.984,52
VZ000131,PRD0222,208,2025-02-02,2025-03-02,STR031,176757.19,42278.98,44589.16,263625.33,Dokončeno,1.011,0
VZ000132,PRD0122,2895,2024-01-22,2024-02-11,STR011,477044.56,287270.61,124175.24,888490.41,V výrobě,1.05,81
VZ000133,PRD0022,3120,2024-03-31,2024-04-13,STR011,14633.28,5899.17,4112.42,24644.87,Dokončeno,0.956,125
VZ000134,PRD0255,4968,2023-12-05,2023-12-06,STR001,176058.81,128828.61,40847.79,345735.21,Dokončeno,1.038,215
VZ000135,PRD0251,1991,2024-03-06,2024-04-19,STR031,122967.8,75063.44,24838.32,222869.56,V výrobě,1.017,57
VZ000136,PRD0150,626,2024-01-22,2024-02-10,STR021,392666.56,203760.87,40792.46,637219.89,Dokončeno,0.896,20
VZ000137,PRD0269,3481,2023-06-26,2023-07-10,STR021,404456.36,311772.2,140230.03,856458.59,Dokončeno,0.979,102
VZ000138,PRD0077,1134,2024-10-04,2024-10-23,STR031,320112.9,138132.9,31938.03,490183.83,Dokončeno,0.864,50
VZ000139,PRD0086,4102,2023-05-10,2023-05-23,STR011,292740.37,83777.33,62663.87,439181.57,V výrobě,0.851,130
VZ000140,PRD0209,4244,2023-08-20,2023-09-25,STR001,181413.08,145035.64,60819.62,387268.34,V výrobě,0.957,198
VZ000141,PRD0089,439,2025-04-03,2025-05-02,STR001,489049.75,281248.39,117468.31,887766.45,Plánováno,0.901,17
VZ000142,PRD0291,1281,2024-05-16,2024-05-22,STR011,312593.95,219050.53,107190.66,638835.14,Dokončeno,0.953,59
VZ000143,PRD0214,1642,2023-03-11,2023-04-19,STR001,397933.07,100016.46,37920.45,535869.98,Dokončeno,1.041,50
VZ000144,PRD0260,551,2025-01-26,2025-03-08,STR001,36494.93,19807.63,10929.22,67231.78,V výrobě,0.967,26
VZ000145,PRD0148,4994,2025-03-01,2025-04-09,STR021,13258.93,4671.88,4093.84,22024.65,Dokončeno,1.032,193
VZ000146,PRD0127,2995,2023-05-10,2023-06-04,STR021,463917.4,93390.72,126542.57,683850.69,Plánováno,0.975,118
VZ000147,PRD0224,1258,2023-01-29,2023-02-11,STR031,36947.28,22040.18,8665.34,67652.8,Pozastaveno,0.93,30
VZ000148,PRD0038,689,2024-02-06,2024-02-25,STR031,496019.57,106621.15,31041.45,633682.17,V výrobě,0.853,14
VZ000149,PRD0065,2714,2023-10-17,2023-11-04,STR011,38921.31,28163.9,6317.45,73402.66,Dokončeno,0.892,128
VZ000150,PRD0267,4620,2025-02-24,2025-03-10,STR021,259489.26,119869.93,38855.56,418214.75,Dokončeno,1.015,216
VZ000151,PRD0079,551,2023-08-12,2023-08-16,STR011,50756.4,21380.89,9637.33,81774.62,V výrobě,0.92,7
VZ000152,PRD0007,4904,2025-05-10,2025-05-20,STR001,335675.38,238276.37,128022.77,701974.52,Dokončeno,0.88,77
VZ000153,PRD0129,1157,2023-07-01,2023-08-06,STR001,11988.58,3243.8,3756.7,18989.08,V výrobě,0.975,12
VZ000154,PRD0017,1586,2025-05-14,2025-05-21,STR041,269493.68,212106.43,62715.28,544315.39,Plánováno,0.959,43
VZ000155,PRD0116,2702,2025-04-22,2025-05-20,STR041,23503.08,6631.24,4844.68,34979.0,Zrušeno,1.005,100
VZ000156,PRD0253,4337,2023-02-18,2023-04-04,STR011,246858.03,134501.5,31822.08,413181.61,Zrušeno,1.001,144
VZ000157,PRD0199,1360,2023-10-29,2023-11-29,STR021,57772.61,45512.05,10476.19,113760.85,Zrušeno,0.955,41
VZ000158,PRD0210,1293,2023-08-30,2023-09-29,STR031,316723.02,126871.39,66377.82,509972.23,Zrušeno,0.955,54
VZ000159,PRD0189,4161,2024-01-19,2024-01-21,STR021,57590.8,32225.39,10527.49,100343.68,Dokončeno,0.999,76
VZ000160,PRD0022,1381,2025-06-04,2025-07-04,STR041,407824.07,216532.6,87747.42,712104.09,Dokončeno,0.902,34
VZ000161,PRD0068,3279,2023-11-16,2023-12-04,STR041,225754.83,59170.75,44650.71,329576.29,Dokončeno,1.025,75
VZ000162,PRD0156,3600,2023-10-13,2023-11-21,STR011,181101.22,69486.16,50034.68,300622.06,Dokončeno,0.937,171
VZ000163,PRD0276,4484,2023-05-09,2023-06-03,STR011,70561.53,46942.45,26558.38,144062.36,Dokončeno,1.044,23
VZ000164,PRD0101,1025,2024-06-25,2024-07-15,STR011,449226.54,103001.07,94260.2,646487.81,Plánováno,0.928,40
VZ000165,PRD0290,1366,2025-05-26,2025-07-03,STR021,96408.16,19940.71,23706.3,140055.17,V výrobě,0.87,44
VZ000166,PRD0140,1462,2023-05-27,2023-06-27,STR041,188465.6,147373.73,49216.2,385055.53,Dokončeno,0.86,33
VZ000167,PRD0058,1188,2023-05-12,2023-05-24,STR041,120839.73,42851.33,26985.53,190676.59,Dokončeno,1.005,42
VZ000168,PRD0151,2715,2023-10-18,2023-10-21,STR031,32684.88,20273.48,11694.0,64652.36,Plánováno,0.922,106
VZ000169,PRD0193,685,2023-12-09,2023-12-10,STR031,308923.1,135295.74,28136.81,472355.65,V výrobě,0.852,5
VZ000170,PRD0273,2340,2025-01-20,2025-02-09,STR021,115517.14,87223.55,20338.67,223079.36,Pozastaveno,0.871,72
VZ000171,PRD0127,1615,2025-01-23,2025-02-14,STR001,52166.08,31751.72,10250.31,94168.11,Pozastaveno,0.921,54
VZ000172,PRD0031,1541,2024-05-17,2024-06-01,STR001,94726.73,44432.69,21998.18,161157.6,V výrobě,1.039,45
VZ000173,PRD0221,1442,2024-03-13,2024-04-12,STR041,412094.78,137486.39,68589.25,618170.42,Dokončeno,0.952,0
VZ000174,PRD0295,4330,2024-06-12,2024-06-27,STR041,90507.15,27863.13,12732.36,131102.64,Zrušeno,0.926,203
VZ000175,PRD0064,3874,2025-02-10,2025-03-16,STR021,325775.24,197607.81,68832.16,592215.21,Plánováno,0.908,107
VZ000176,PRD0074,711,2025-02-07,2025-03-07,STR001,383212.21,78001.33,74014.06,535227.6,V výrobě,0.892,1
VZ000177,PRD0111,1408,2023-09-03,2023-09-27,STR041,490051.88,226394.79,171061.86,887508.53,Dokončeno,1.033,45
VZ000178,PRD0243,3725,2023-12-12,2023-12-24,STR031,493934.94,292010.37,118077.24,904022.55,Pozastaveno,1.008,63
VZ000179,PRD0084,296,2023-12-29,2024-02-03,STR021,199467.33,147904.62,26630.66,374002.61,V výrobě,0.912,0
VZ000180,PRD0147,4318,2023-08-08,2023-08-28,STR001,96472.34,45750.04,33524.29,175746.67,Pozastaveno,0.955,69
VZ000181,PRD0151,3564,2025-05-04,2025-05-06,STR001,350961.73,260275.55,35644.27,646881.55,Dokončeno,0.959,71
VZ000182,PRD0210,4238,2023-03-02,2023-03-16,STR031,353108.79,184126.74,74289.47,611525.0,V výrobě,0.951,33
VZ000183,PRD0039,3668,2024-11-02,2024-11-13,STR011,331022.61,175001.57,112468.01,618492.19,Dokončeno,1.003,153
VZ000184,PRD0232,253,2024-10-06,2024-10-13,STR011,444184.46,255622.95,40840.31,740647.72,Dokončeno,0.944,1
VZ000185,PRD0262,3658,2025-04-24,2025-05-16,STR001,241702.45,143210.96,68420.06,453333.47,V výrobě,0.931,39
VZ000186,PRD0277,2186,2024-02-06,2024-02-24,STR021,219198.98,116060.07,23863.1,359122.15,V výrobě,0.939,99
VZ000187,PRD0014,1536,2023-10-21,2023-11-07,STR031,483385.5,143565.63,140395.55,767346.68,Dokončeno,1.034,56
VZ000188,PRD0156,708,2023-12-13,2024-01-05,STR041,441268.94,302896.71,127885.63,872051.28,V výrobě,0.923,28
VZ000189,PRD0276,1568,2024-10-26,2024-12-01,STR031,19671.18,7962.05,3408.91,31042.14,Pozastaveno,0.966,63
VZ000190,PRD0233,2149,2025-03-01,2025-03-10,STR031,235889.84,130368.78,51823.72,418082.34,Dokončeno,0.95,20
VZ000191,PRD0260,2943,2025-04-15,2025-05-12,STR031,428097.61,150477.21,74299.93,652874.75,Plánováno,0.885,40
VZ000192,PRD0136,1607,2024-09-27,2024-10-12,STR021,167493.3,76386.99,53580.09,297460.38,V výrobě,0.895,56
VZ000193,PRD0074,1737,2023-01-28,2023-02-23,STR011,147589.49,95310.79,42750.23,285650.51,Dokončeno,0.956,79
VZ000194,PRD0260,2655,2024-05-25,2024-05-27,STR021,317166.06,108670.14,97782.96,523619.16,V výrobě,0.919,47
VZ000195,PRD0054,967,2023-09-03,2023-09-08,STR021,159252.62,113688.77,26107.48,299048.87,Dokončeno,0.868,11
VZ000196,PRD0005,3435,2024-11-17,2024-12-03,STR031,110882.96,78527.43,45959.09,235369.48,Dokončeno,1.013,73
VZ000197,PRD0169,4417,2024-06-22,2024-06-27,STR001,445716.21,157644.7,38699.54,642060.45,V výrobě,0.919,93
VZ000198,PRD0230,4589,2023-01-01,2023-01-16,STR021,216806.43,129284.73,65726.33,411817.49,Plánováno,1.017,108
VZ000199,PRD0014,1490,2024-10-11,2024-11-08,STR031,104682.67,38361.9,28462.04,171506.61,Dokončeno,1.0,45
VZ000200,PRD0094,3430,2025-06-19,2025-07-29,STR011,264106.09,210750.38,41169.89,516026.36,Dokončeno,0.916,45
VZ000201,PRD0014,3258,2023-03-12,2023-04-09,STR031,11466.74,2609.65,1859.49,15935.88,Pozastaveno,0.926,1
VZ000202,PRD0164,4465,2023-09-03,2023-09-23,STR041,128954.93,102318.19,54504.09,285777.21,Pozastaveno,1.047,119
VZ000203,PRD0224,4685,2023-02-20,2023-03-04,STR021,251310.14,59832.03,32674.12,343816.29,Dokončeno,0.894,130
VZ000204,PRD0222,2492,2023-09-23,2023-10-25,STR041,379183.69,245980.18,143399.78,768563.65,V výrobě,0.94,118
VZ000205,PRD0241,4909,2025-02-16,2025-03-05,STR021,437302.22,130385.04,44677.09,612364.35,Dokončeno,1.013,115
VZ000206,PRD0220,3111,2025-03-17,2025-03-29,STR041,174411.33,51035.36,32873.75,258320.44,Pozastaveno,0.9,118
VZ000207,PRD0155,3205,2023-04-17,2023-04-25,STR001,381234.71,152087.47,29631.72,562953.9,Dokončeno,0.929,135
VZ000208,PRD0220,1849,2024-11-09,2024-12-24,STR041,111496.88,65761.62,35879.44,213137.94,Plánováno,1.025,37
VZ000209,PRD0147,3040,2024-08-06,2024-09-17,STR001,488459.5,250378.57,115358.46,854196.53,Dokončeno,0.97,111
VZ000210,PRD0274,2046,2023-07-19,2023-07-30,STR011,282374.42,142891.73,76435.94,501702.09,Plánováno,0.955,32
